indicator_data year,ISO Country code_,surface area (Km2)_,population_2017,population_2018,population_2019,population_2020,population_2021,,GINI index_varies by country,happy planet index_2016,happy planet index_2017,happy planet index_2018,happy planet index_2019,happy planet index_2020,human development index_2017,human development index_2018,human development index_2019,human development index_2020,human development index_2021,sustainable economic development assessment (SEDA)_2018,,GDP growth(annual %)_2017,GDP growth(annual %)_2018,GDP growth(annual %)_2019,GDP growth(annual %)_2020,GDP growth(annual %)_2021,GDP ($ USD billions PPP)_2018,GDP ($ USD billions PPP)_2019,GDP ($ USD billions PPP)_2020,GDP ($ USD billions PPP)_2021,GDP per capita in $ (PPP)_2018,GDP per capita in $ (PPP)_2019,GDP per capita in $ (PPP)_2020,GDP per capita in $ (PPP)_2021,Economic Growth_2018,Economic Growth_2021,,health expenditure % of GDP_2014,health expenditure % of GDP_2015,health expenditure % of GDP_2016,health expenditure % of GDP_2017,health expenditure % of GDP_2018,health expenditure % of GDP_2019,health expenditure % of GDP_2020,health expenditure % of GDP_2021,health expenditure per person_2015,health expenditure per person_2018,health expenditure per person_2019,infant mortality_2020,"maternal mortality per 100,000 live births_2017",,education expenditure% of GDP_2014,education expenditure% of GDP_2018,education expenditure% of GDP_2021,Education as % of GDP_2018,Education as % of GDP_2021,% of primary school aged kids out of school_2018,% of primary school aged kids out of school_2021,,unemployment (%)_2017,unemployment (%)_2018,unemployment (%)_2019,unemployment (%)_2020,unemployment (%)_2021,% of population in extreme poverty_2021,% of population with access to electricity_2020,,political rights score_2018,political rights score_2022,civil liberties score_2018,civil liberties score_2022,political stability and absence of violence_2017,political stability and absence of violence_2021,government effectiveness_2017,government effectiveness_2021,regulatory quality_2017,regulatory quality_2021,rule of law_2017,rule of law_2021,control of corruption_2017,control of corruption_2021,judicial effectiveness score_2018,judicial effectiveness score_2022,government integrity score_2018,government integrity score_2022,overall economic freedom score_2017,overall economic freedom score_2022,financial freedom score_2018,financial freedom score_2022,government expenditure (% of GDP)_2018,,CO2e emissions per capita_2015,CO2e emissions per capita_2016,CO2e emissions per capita_2017,CO2e emissions per capita_2018,CO2e emissions per capita_2019,share of electricity from renewables generation_2015,,% of seats held by women in national parliaments_2017,% of seats held by women in national parliaments_2018,% of seats held by women in national parliaments_2019,% of seats held by women in national parliaments_2020,% of seats held by women in national parliaments_2021,Military Spending as % of GDP_2017,Military Spending as % of GDP_2018,Military Spending as % of GDP_2019,Military Spending as % of GDP_2020,Military Spending as % of GDP_2021
Armenia,ARM,28203,2851923,2836557,2820602,2805608,2790974,,31.5,25.7,44.4,50.4,54.7,-,0.76,0.77,0.78,0.76,0.76,51.7,,7.5,3,7.6,5.7,5.7,37.53,40.38,37.4,39.53,13018.87,14230.01,13311.03,14630.24,5.2,5.7,,2.25,2.81,2.76,2.71,2.26,2.56,2.71,2.71,883,422.3,524,-,26,,2.25,2.26,2.71,2.26,2.71,6.91,10.48,,17.7,16.8,18.3,21.21,20.9,0.1,100,,15,23,30,32,-0.71,-0.84,-0.1,-0.25,0.28,0.15,-0.16,-0.1,-0.56,0.07,47.4,33.1,40.5,50.8,68.7,65.3,70,70,25.8,,1.86,1.77,1.88,2.01,2.09,0.3,,18.1,18.1,23,23.5,33.64,443.6,513.3,652,634,619.4
Australia,AUS,7682300,24594202,24966643,25340217,25655289,25688079,,30.3,21.2,44.1,43.3,43.1,44.5,0.94,0.94,0.94,0.95,0.95,78.9,,2.28,2.5,2.17,1.48,2.24,1224.88,1250.76,1250.71,1269.16,50169.19,51748.4,53316.89,55807.44,2.87,1.48,,5.16,5.32,5.29,5.14,5.12,-,-,5.12,4492,5364.5,5427.5,3,6,,5.19,5.12,-,5.12,-,0.43,1.46,,5.59,5.7,5.16,6.46,5.11,0.4,100,,40,39,58,56,0.9,0.85,1.54,1.51,1.93,1.84,1.68,1.67,1.8,1.74,93.4,95.2,77.4,87,80.9,77.7,90,90,36,,15.86,15.91,15.82,15.5,15.24,0.14,,28.7,28.67,30,30.5,31.13,27691.1,26839.8,26079.3,27300.9,31753.7
Austria,AUT,82445,8797566,8840521,8879920,8916864,8955797,,30.5,30.5,47.5,48.1,46.8,49.7,0.91,0.92,0.92,0.91,0.92,80.3,,2.26,0.9,1.52,4.48,4.56,488.51,495.8,462.41,483.14,56960.09,58076.35,55685.97,58427.5,2.5,4.48,,5.45,5.46,5.48,5.37,5.22,-,-,5.22,5138,5322.3,5242.2,17.3,5,,5.45,5.22,-,5.22,-,0.04,0.06,,5.5,6.1,4.49,5.36,6.3,0.5,100,,37,37,57,56,1.04,0.91,1.46,1.57,1.44,1.35,1.81,1.79,1.53,1.27,80.9,94.6,73.5,82.9,71.8,73.8,70,70,51.8,,7.32,7.29,7.49,7.13,7.29,0.8,,30.6,34.43,39,39.3,40.44,3153.1,3388,3237.8,3601.6,3825.3
Azerbaijan,AZE,82629,9854033,9939771,10024283,10093121,10137750,,33.7,-,47.9,48,48,-,0.76,0.76,0.76,0.73,0.75,51.1,,0.2,1.1,2.5,5.6,5.6,141.24,144.77,138.55,146.3,14549.06,15051.56,14478.52,15842.89,1.5,5.6,,2.63,2.95,2.9,2.47,2.46,2.68,-,2.46,1191,168.4,193.1,38.6,26,,2.63,2.46,2.68,2.46,2.68,3.89,10.46,,5,5.1,4.85,6.46,6.58,-,100,,3,2,9,7,-0.76,-0.85,-0.16,0.25,-0.25,-0.06,-0.56,-0.58,-0.88,-0.83,36.8,15.9,39.9,28.6,64.3,61.6,60,60,36.8,,3.29,3.3,3.24,3.29,3.54,0.08,,16.8,16.8,17,17.4,18.18,1528.9,1672.2,1854.2,2237.8,2703.2
Bahamas,BHS,10010,399020,401906,404557,406471,407906,,-,-,-,-,-,-,0.81,0.83,0.82,0.82,0.81,60.4,,3.05,0.5,1.9,13.72,13.72,13.96,14.22,10.84,12.32,37065.53,38063.82,29064.76,34107.85,1.83,13.72,,2.5,2.25,2.33,2.42,2.25,2.29,2.37,2.78,1699,2002.4,2004.6,4.9,70,,-,2.25,2.78,2.25,2.78,-,-,,9.8,15.3,10.06,13.32,13.24,-,100,,38,38,53,53,1,0.88,0.58,0.46,0.12,0.06,0.19,0.1,1.17,1.18,53.5,78.8,50.9,64.3,63.3,68.7,60,60,23.8,,5.63,5.15,5.44,6.97,7.29,0,,12.8,12.82,13,12.8,17.95,-,-,-,-,-
Bahrain,BHR,760,1456834,1487340,1494188,1477469,1463265,,-,-,32.7,33.5,33.6,33,0.85,0.88,0.88,0.88,0.88,63.9,,4.29,3.2,2.17,2.23,2.23,72.79,74.36,70.69,72.27,47485.62,47224.24,43821.12,45411.12,2.11,2.23,,2.47,2.67,2.87,2.32,2.37,2.09,2.15,2.15,2453,994.2,940.4,10.5,14,,2.47,2.37,2.15,2.37,2.15,1.04,2.34,,1.18,1.3,1.2,1.78,1.87,-,100,,2,2,10,10,-0.95,-0.51,0.19,0.72,0.41,0.85,0.45,0.47,-0.14,0.17,55.1,27.4,51.8,41.6,67.7,62,80,80,33.4,,22.45,21.49,20.95,20.71,20.27,0.01,,7.5,15,15,15,15,1532.7,1527.7,1557.7,1404.8,1381.4
Bangladesh,BGD,130170,161793964,163683958,165516222,167420951,169356251,,32.1,38.4,48.4,49.7,54.5,56,0.61,0.64,0.64,0.66,0.66,35.3,,6.59,6.4,7.88,6.94,6.94,838.8,904.91,936.11,1001.07,5321.94,5784.27,5995.41,6613.01,7.32,6.94,,-,-,1.54,-,-,1.33,-,1.33,88,41.9,45.9,5.1,173,,-,-,1.33,-,1.33,-,-,,4.37,4.1,4.44,5.41,5.23,-,96.2,,19,15,26,24,-1.25,-0.97,-0.74,-0.63,-0.81,-0.85,-0.67,-0.61,-0.83,-0.96,32.6,28.1,21.2,22.2,55.1,52.7,30,40,13.9,,0.46,0.47,0.49,0.51,0.56,-,,20.3,20.29,21,20.9,20.86,3266,3649.6,4348.5,4558.2,4882.6
Barbados,BRB,430,279187,279688,280180,280693,281200,,-,-,-,-,-,-,0.8,0.8,0.8,0.79,0.79,60.8,,0.46,0.5,-0.13,1.4,-0.19,4.48,4.45,3.83,3.88,15988.77,16153.97,14045.77,14816.86,-1.03,1.4,,6.14,5.38,4.71,4.37,5.43,3.2,3.06,6.45,1234,1164.5,1143.3,9.6,27,,6.23,5.43,6.45,5.43,6.45,1.61,2.65,,8.62,11.4,8.41,10.38,10.41,-,100,,38,38,58,57,0.98,1.12,0.84,0.54,0.49,0.56,0.66,0.37,1.42,1.24,54.4,88.2,53.8,68.7,57,71.3,60,60,45,,4.57,4.63,4.23,4.43,4.36,0.01,,16.7,20,20,20,20,-,-,-,-,-
Belarus,BLR,202900,9458989,9438785,9419758,9379952,9340314,,26.5,21.7,40.9,39.4,42.9,-,0.81,0.82,0.82,0.81,0.81,59.9,,2.53,-3.9,1.4,2.51,2.3,179.1,181.61,179.97,184.48,19428.01,20092.88,20237.55,21698.57,3.15,2.51,,4.82,4.79,4.95,4.79,5.38,4.98,4.95,4.95,1085,351,399.4,10,2,,4.82,5.38,4.95,5.38,4.95,1.3,5.24,,5.65,0.5,4.16,4.77,4.74,0,100,,6,2,15,6,0.03,-0.74,-0.35,-0.77,-0.74,-0.92,-0.82,-1.1,-0.26,-0.24,57.3,15.5,42,43.7,58.1,53,10,20,41.7,,5.79,5.82,5.92,6.25,6.12,0.24,,34.5,34.55,40,40,40,625.6,709.7,773.7,707.4,762.8
Belgium,BEL,30278,11375158,11427054,11488980,11538604,11592952,,25.9,23.7,43.6,43.3,42.5,48.6,0.92,0.93,0.94,0.93,0.94,77.5,,1.62,1.4,2.24,6.24,6.13,584.37,596.71,562.81,597.96,52535.23,54278.39,53070.21,58930.94,1.84,6.24,,6.59,6.45,6.46,6.43,6.38,-,-,6.38,4782,5134.4,4960.4,56.5,5,,6.6,6.38,-,6.38,-,0.52,0.89,,7.09,8.3,5.36,5.55,6.42,0.1,100,,39,39,56,57,0.42,0.61,1.18,1.13,1.24,1.34,1.34,1.33,1.5,1.48,69.5,91.2,70.9,83.6,67.5,69.6,70,70,54.1,,8.44,8.31,8.15,8.2,8.1,0.95,,38,38,42,41.3,42,4432.8,4840.1,4761.2,5442.8,6311.5
Belize,BLZ,22806,374693,382066,389095,394921,400031,,-,33.8,-,-,-,-,0.71,0.71,0.71,0.69,0.68,48.5,,-1.69,1.5,4.5,9.75,15.23,2.74,2.79,2.32,2.55,7318.9,7454.53,6165.85,6921.45,2.04,9.75,,6.61,6.87,7.29,7.45,7.47,7.14,7.53,8.71,524,286,293.4,-,36,,6.47,7.47,8.71,7.47,8.71,0.66,0.15,,6.6,11,6.71,8.46,8.22,-,97.11,,36,34,50,53,0.05,0.46,-0.64,-0.49,-0.54,-0.42,-0.96,-0.78,-0.27,-0.3,53.5,70.2,34.7,38.1,57.1,56.6,50,50,33.9,,1.89,1.77,1.71,1.65,1.64,0.03,,9.4,9.38,9,9.7,12.5,23.1,23.3,24.4,26.7,21.8
Benin,BEN,110622,11596779,11940683,12290444,12643123,12996895,,36.5,13.4,40.2,46.3,41.4,38.3,0.52,0.53,0.53,0.52,0.53,34.5,,5.67,5.2,6.87,6.6,7.16,36.3,38.79,40.29,42.95,3236.29,3426.05,3505.14,3789.27,6.7,6.6,,3.16,3.17,2.9,3.54,2.93,2.97,3,3,84,31.1,29.1,52.8,397,,4.32,2.93,3,2.93,3,2.79,6.72,,1.64,1,1.47,1.58,1.57,4.8,41.41,,33,17,49,42,0.05,-0.3,-0.64,-0.21,-0.47,-0.43,-0.62,-0.59,-0.55,-0.15,31.3,55.3,30.2,40.3,56.7,61,50,50,21.9,,0.5,0.6,0.59,0.62,0.62,-,,7.2,7.23,7,7.2,8.43,116.1,90.2,68.1,71.8,97.4
Bhutan,BTN,38394,756121,762096,767459,772506,777486,,38.8,28.6,-,-,36.7,-,0.61,0.66,0.67,0.67,0.67,47.7,,4.65,7.7,5.76,-10.08,4.09,8.56,9.05,8.14,-,11619.56,12365.51,11129.31,-,3.06,-10.08,,6.04,7.59,6.99,7.23,6.85,5.68,-,5.68,287,102.7,116,36.1,183,,5.9,6.85,5.68,6.85,5.68,8.14,3.65,,2.45,2.4,2.5,3.65,4.33,-,100,,28,29,27,32,1.13,0.97,0.56,0.8,-0.33,-0.37,0.63,0.64,1.57,1.55,51.6,60.9,50.9,73.5,61.8,59.3,30,30,30.5,,1.04,1.24,1.28,1.38,1.38,1,,8.5,14.89,15,14.9,17.02,-,-,-,-,-
Bolivia,BOL,1083301,11435533,11606905,11777315,11936162,12079472,,47,23.3,44,45.9,45,43.8,0.69,0.71,0.72,0.69,0.69,44.8,,4.2,4.8,2.22,6.11,6.11,98.27,100.45,91.67,97.27,8862.31,9092.69,8283.13,9030.39,4.22,6.11,,8.26,8.94,8.85,8.66,8.9,-,-,8.9,446,235.7,245.9,13.1,155,,7.29,8.9,-,8.9,-,6.79,4.9,,3.65,3.7,3.82,7.9,8.51,0.9,97.55,,28,27,39,39,-0.3,-0.32,-0.39,-0.73,-0.9,-1.15,-1.21,-1.16,-0.66,-0.86,11.4,28.4,23.1,28.7,44.1,43,40,40,42.2,,1.87,1.95,1.99,2,1.94,0.33,,53.1,53.08,53,46.2,46.15,574.1,602.9,593.2,510.5,625.3
Bosnia and Herzegovina,BIH,51187,3440027,3400129,3360711,3318407,3270943,,33.8,25.3,42.9,47.7,47.8,45.6,0.77,0.78,0.78,0.78,0.78,50.2,,3.17,2.8,2.83,7.1,7.55,47.82,49.17,47.64,51.02,14918.49,15711.24,15598.43,16846.46,3.74,7.1,,-,-,-,-,-,-,-,-,1102,539.9,553.8,2.2,10,,-,-,-,-,-,13.28,-,,20.53,25.8,15.69,15.27,15.22,-,100,,21,19,34,34,-0.38,-0.38,-0.48,-1.04,-0.15,-0.18,-0.21,-0.28,-0.52,-0.64,43.7,37.2,28.4,33.4,61.4,63.4,60,60,44.1,,5.57,6.42,6.59,6.65,6.38,0.37,,21.4,21.43,21,26.2,26.19,156.3,172.1,165.4,167.5,192.2
